codeWilaya,Wilaya,MoughataaFr,Commune,Center,bureau,Candidat,Wilaya_ar,MoughataaAr,Commune_ar,Center_ar,bureau_ar,CandidatAr,Type,TypeAr,nbr_Inscrits,nb_bulletin,nb_votant_neutre,nb_votant_null,nb_vote
00,Etranger,Afrique,Gambie,Faravenni,Faravenni  01,Mohamed Cheikh Ghazouani,الخارج,إفريقيا,غامبيا,فارافيني,فارافيني  01,محمد   الشيخ الغزواني,Présidentielles,الرئاسية,417,269,0,27,66
00,Etranger,Afrique,Gambie,Faravenni,Faravenni  01,Mohamed Lemine El Mourteji  El Wavi,الخارج,إفريقيا,غامبيا,فارافيني,فارافيني  01,محمد الامين  المرتجي الوافي,Présidentielles,الرئاسية,417,269,0,27,1
00,Etranger,Afrique,Gambie,Faravenni,Faravenni  01,Hamadi Sid’El Moctar Mohamed Abdi,الخارج,إفريقيا,غامبيا,فارافيني,فارافيني  01,حمادى  سيد المختار محمد عبدى,Présidentielles,الرئاسية,417,269,0,27,138
00,Etranger,Afrique,Gambie,Faravenni,Faravenni  01,Outouma Antoine Souleymane Soumaré,الخارج,إفريقيا,غامبيا,فارافيني,فارافيني  01,أوتوما أنتوان  سليمان سومارى,Présidentielles,الرئاسية,417,269,0,27,0
00,Etranger,Afrique,Gambie,Faravenni,Faravenni  01,Mamadou Bocar Ba,الخارج,إفريقيا,غامبيا,فارافيني,فارافيني  01,مامادو  بوكار با,Présidentielles,الرئاسية,417,269,0,27,0
00,Etranger,Afrique,Gambie,Faravenni,Faravenni  01,El Id Mohameden M’Bareck,الخارج,إفريقيا,غامبيا,فارافيني,فارافيني  01,العيد  محمدن امبارك,Présidentielles,الرئاسية,417,269,0,27,6
00,Etranger,Afrique,Gambie,Faravenni,Faravenni  01,Biram Dah  Abeid,الخارج,إفريقيا,غامبيا,فارافيني,فارافيني  01,بيرام الداه    اعبيد,Présidentielles,الرئاسية,417,269,0,27,31
00,Etranger,Afrique,Gambie,Bassé,Bassé  01,Mohamed Cheikh Ghazouani,الخارج,إفريقيا,غامبيا,باسي,باسي  01,محمد   الشيخ الغزواني,Présidentielles,الرئاسية,205,141,3,1,61
00,Etranger,Afrique,Gambie,Bassé,Bassé  01,Mohamed Lemine El Mourteji  El Wavi,الخارج,إفريقيا,غامبيا,باسي,باسي  01,محمد الامين  المرتجي الوافي,Présidentielles,الرئاسية,205,141,3,1,0
00,Etranger,Afrique,Gambie,Bassé,Bassé  01,Hamadi Sid’El Moctar Mohamed Abdi,الخارج,إفريقيا,غامبيا,باسي,باسي  01,حمادى  سيد المختار محمد عبدى,Présidentielles,الرئاسية,205,141,3,1,57
00,Etranger,Afrique,Gambie,Bassé,Bassé  01,Outouma Antoine Souleymane Soumaré,الخارج,إفريقيا,غامبيا,باسي,باسي  01,أوتوما أنتوان  سليمان سومارى,Présidentielles,الرئاسية,205,141,3,1,0
00,Etranger,Afrique,Gambie,Bassé,Bassé  01,Mamadou Bocar Ba,الخارج,إفريقيا,غامبيا,باسي,باسي  01,مامادو  بوكار با,Présidentielles,الرئاسية,205,141,3,1,0
00,Etranger,Afrique,Gambie,Bassé,Bassé  01,El Id Mohameden M’Bareck,الخارج,إفريقيا,غامبيا,باسي,باسي  01,العيد  محمدن امبارك,Présidentielles,الرئاسية,205,141,3,1,2
00,Etranger,Afrique,Gambie,Bassé,Bassé  01,Biram Dah  Abeid,الخارج,إفريقيا,غامبيا,باسي,باسي  01,بيرام الداه    اعبيد,Présidentielles,الرئاسية,205,141,3,1,17
00,Etranger,Afrique,Guinée Bissau,Ambdassade-Bissau,Ambdassade-Bissau  02,Mohamed Cheikh Ghazouani,الخارج,إفريقيا,غينيا بيساو,السفارة بيساو,السفارة بيساو  02,محمد   الشيخ الغزواني,Présidentielles,الرئاسية,423,215,0,2,86
00,Etranger,Afrique,Guinée Bissau,Ambdassade-Bissau,Ambdassade-Bissau  02,Mohamed Lemine El Mourteji  El Wavi,الخارج,إفريقيا,غينيا بيساو,السفارة بيساو,السفارة بيساو  02,محمد الامين  المرتجي الوافي,Présidentielles,الرئاسية,423,215,0,2,0
00,Etranger,Afrique,Guinée Bissau,Ambdassade-Bissau,Ambdassade-Bissau  02,Hamadi Sid’El Moctar Mohamed Abdi,الخارج,إفريقيا,غينيا بيساو,السفارة بيساو,السفارة بيساو  02,حمادى  سيد المختار محمد عبدى,Présidentielles,الرئاسية,423,215,0,2,81
00,Etranger,Afrique,Guinée Bissau,Ambdassade-Bissau,Ambdassade-Bissau  02,Outouma Antoine Souleymane Soumaré,الخارج,إفريقيا,غينيا بيساو,السفارة بيساو,السفارة بيساو  02,أوتوما أنتوان  سليمان سومارى,Présidentielles,الرئاسية,423,215,0,2,2
00,Etranger,Afrique,Guinée Bissau,Ambdassade-Bissau,Ambdassade-Bissau  02,Mamadou Bocar Ba,الخارج,إفريقيا,غينيا بيساو,السفارة بيساو,السفارة بيساو  02,مامادو  بوكار با,Présidentielles,الرئاسية,423,215,0,2,0
00,Etranger,Afrique,Guinée Bissau,Ambdassade-Bissau,Ambdassade-Bissau  02,El Id Mohameden M’Bareck,الخارج,إفريقيا,غينيا بيساو,السفارة بيساو,السفارة بيساو  02,العيد  محمدن امبارك,Présidentielles,الرئاسية,423,215,0,2,26
00,Etranger,Afrique,Guinée Bissau,Ambdassade-Bissau,Ambdassade-Bissau  02,Biram Dah  Abeid,الخارج,إفريقيا,غينيا بيساو,السفارة بيساو,السفارة بيساو  02,بيرام الداه    اعبيد,Présidentielles,الرئاسية,423,215,0,2,18
00,Etranger,Afrique,Côte d'Ivoire,interieur-Daloa,interieur-Daloa  01,Mohamed Cheikh Ghazouani,الخارج,إفريقيا,ساحل العاج,دالوا,دالوا  01,محمد   الشيخ الغزواني,Présidentielles,الرئاسية,737,334,20,7,57
